time,open,high,low,close,vwap,volume,count,ema30,ema100,rsi,atr
2024-03-04,63178.3,68521.0,62262.0,68323.1,65990.5,6106.3085254,70168.0,54021.574271134894,46033.27766415564,86.13443496898685,2433.9740589336257
2024-03-05,68338.6,69218.0,59150.0,63802.3,65181.0,10647.21710186,112409.0,54652.58883428748,46385.139492588205,69.47640266211275,2979.2616261526523
2024-03-06,63805.2,67635.3,62876.6,66098.9,66093.6,4896.523842,58924.0,55391.060522397966,46775.51098778448,72.39691632538606,3106.364367141749
2024-03-07,66098.9,68050.0,65668.0,66936.5,67131.9,3147.25047656,43026.0,56135.92758546907,47174.73849297687,73.39667557047727,3054.6240552030526
2024-03-08,66936.7,70000.0,65200.0,68333.0,68167.0,4438.29990823,60515.0,56922.835483180745,47593.71396836346,75.02110203305163,3179.2937655456917
2024-03-09,68333.0,68657.4,68047.8,68459.1,68374.9,964.99996567,21161.0,57667.11061329812,48006.889929385965,75.16854536490581,2995.744210863856
2024-03-10,68459.1,69981.0,68254.9,69040.1,69351.8,2360.95657907,38143.0,58400.85186405308,48423.38913870505,75.87512744550082,2905.055338659295
2024-03-11,69040.1,72866.4,67187.3,72100.0,71317.5,5547.01813187,62666.0,59284.66787282385,48892.23291813664,79.22758463437108,3103.201385897916
2024-03-12,72100.1,73000.0,68660.2,71484.7,71246.7,3980.18577146,56539.0,60071.76671973844,49339.608503916104,76.91305554881663,3191.5298583337794
2024-03-13,71480.8,73666.5,71336.1,73082.4,72897.1,2818.46739181,40002.0,60911.16241523919,49809.76279096727,78.65663640881775,3130.0205827385093
2024-03-14,73089.7,73734.0,68554.9,71371.2,71119.1,4983.78363201,55646.0,61586.00354973989,50236.72194362138,72.35391794968774,3276.3833982571878
2024-03-15,71371.3,72500.0,65600.0,69488.8,68474.4,5903.81785283,81362.0,62095.86138524055,50617.951212064516,66.08106117599402,3535.2131555245314
2024-03-16,69488.9,69999.0,64802.6,65249.6,67524.4,2550.190718,41076.0,62299.328392644384,50907.686831627594,54.60064204401356,3653.869358701351
2024-03-17,65249.6,68815.6,64555.0,68355.6,66955.8,2581.90048305,36130.0,62690.055593118945,51253.19006268447,60.073832797820224,3697.207261651255
2024-03-18,68355.6,68898.3,66569.4,67600.0,67649.5,2892.32240992,38800.0,63006.8262000145,51576.88926936399,58.234557104051916,3599.471028676166
2024-03-19,67600.0,68075.0,61537.5,61908.4,64246.8,6851.4328518,69108.0,62935.959993561955,51781.47364026767,46.648700584771035,3809.3302409135827
2024-03-20,61905.3,68137.3,60778.2,67866.0,64528.6,6500.53270463,63905.0,63254.027090751515,52099.979112737616,56.421910170414115,4062.8852237054703
2024-03-21,67866.1,68238.0,64564.4,65499.9,66469.8,2710.17809746,36754.0,63398.92211715465,52365.32408080222,52.3224495687616,4035.0791362979367
2024-03-22,65500.0,66614.8,62204.1,63810.1,64187.7,2845.9453118,38432.0,63425.44972249952,52591.953306924945,49.55334835025794,4061.9091979909417
2024-03-23,63810.0,65970.0,63050.4,64034.5,64604.1,1933.65360997,25782.0,63464.743288789876,52818.538389956135,49.93229725655846,3980.315683848731
2024-03-24,64034.4,67614.8,63825.0,67193.9,65623.2,1806.6128305,29362.0,63705.334044351825,53103.1990158976,55.051792396203346,3966.7074207166793
2024-03-25,67199.1,71217.1,66438.4,69950.0,69172.9,4434.31051831,46157.0,64108.21571890978,53436.79903538477,58.99112264535871,4024.706890665489
2024-03-26,69950.1,71557.7,69116.8,70000.1,70297.5,2600.32974153,33710.0,64488.33728543173,53764.785193099924,59.06136043846147,3911.577827046525
2024-03-27,70000.1,71746.9,68366.5,69437.3,69737.3,3899.00360403,36854.0,64807.625202500654,54075.13202095933,57.86243891020538,3873.636553686058
2024-03-28,69437.2,71546.3,68800.0,70742.2,70498.1,3156.06986933,31994.0,65190.50099588771,54405.17297103935,59.895222959122854,3793.112514137054
2024-03-29,70742.2,70911.4,69128.7,69917.1,70036.3,1885.11342092,25085.0,65495.44286712077,54712.33984289996,57.990241276445516,3649.5116202701215
2024-03-30,69917.0,70354.4,69607.6,69652.0,70007.6,669.4307169,16293.0,65763.60784343556,55008.174697496,57.35901060410612,3442.175075965112
2024-03-31,69652.0,71323.9,69600.0,71306.8,70484.6,1097.39096998,17719.0,66121.23314385908,55330.919752991125,60.26645214516614,3319.4411419676035
2024-04-01,71306.7,71306.8,68101.0,69681.1,69424.3,2039.09077986,30706.0,66350.90197328753,55615.081738080415,56.21147616900938,3311.3239175413464
2024-04-02,69681.1,69699.9,64572.7,65457.6,66237.0,3892.19127401,49119.0,66293.26958791414,55809.98308980159,47.306198145458374,3441.0293520026785
2024-04-03,65457.6,66902.0,64541.2,65991.5,65986.8,1507.14098717,27797.0,66273.80058224226,56011.59728604314,48.41866524040151,3363.8701125739162
2024-04-04,65991.4,69354.7,65116.1,68527.4,67608.9,2782.22826481,35929.0,66419.19409306534,56259.43496354723,53.44603890271271,3426.350818818636
2024-04-05,68527.4,68755.0,66004.5,67856.5,67382.6,3264.19092426,38198.0,66511.92350641596,56489.079815754216,52.00199969385209,3378.0757603315906
2024-04-06,67856.5,69693.1,67513.7,68908.6,68374.4,1622.37758547,21772.0,66666.54779632461,56735.010908511555,54.09655879083012,3292.456063165049
2024-04-07,68908.6,70300.0,68888.0,69386.1,69470.7,1592.35234659,25350.0,66842.0027772069,56985.52752418459,55.055186753549144,3158.137772938974
2024-04-08,69386.0,72731.5,69114.5,71650.0,71499.5,3524.06053669,35795.0,67152.19614641936,57275.91311776509,59.38581711047562,3190.913646300476
2024-04-09,71650.1,71738.0,68263.2,69159.9,69884.8,3982.98709625,33120.0,67281.72542729553,57511.239590680634,53.302212199684405,3211.1912429932995
2024-04-10,69159.9,71100.1,67500.0,70612.2,69036.9,2906.12976057,31855.0,67496.59475456679,57770.66454928101,56.125252804865994,3238.9704399223497
